id,timestamp,message,category,stage,severity_score,is_risk,recommended_action,context,clinical_basis
1,15/01/2025 01:00,I've said things I've never said. Like final things.,suicidal_ideation,middle,7,1,hr_review,slack,1am - farewell statements
2,15/01/2025 01:30,Signed off with burnout. Official diagnosis.,burnout,late,9,1,urgent_hr_intervention,email,1:30am - diagnosis
3,15/01/2025 02:00,I've hit bottom. Can't go any lower professionally.,burnout,late,9,1,urgent_hr_intervention,slack,Rock bottom
4,15/01/2025 02:30,Letters written to important people.,suicidal_ideation,middle,7,1,hr_review,slack,Note writing
5,15/01/2025 03:00,I've researched it thoroughly. Methodically.,suicidal_ideation,middle,7,1,hr_review,slack,3am - method research
6,15/01/2025 06:35,Weekend didn't help. Came back Monday feeling like I never left.,stress,middle,6,1,hr_review,slack,Insufficient recovery
7,15/01/2025 09:00,Pushed the fix. Should resolve the timeout issues.,neutral,none,0,0,none,slack,Technical resolution
8,15/01/2025 10:28,Sometimes driving home I think about not turning the wheel. Just once.,suicidal_ideation,early,4,1,monitor,slack,Passive ideation - method proximity
9,15/01/2025 12:51,Nothing helps. Nothing changes. Nothing matters.,depression,late,10,1,urgent_hr_intervention,slack,Hopelessness triad
10,15/01/2025 14:00,I've mastered the art of aggressive Slack reactions.,humor_sarcasm,none,0,0,none,slack,Communication style humor
11,15/01/2025 14:17,Colleagues have noticed I'm different. I can see the concern. Can't explain.,depression,middle,7,1,hr_review,slack,Observable mood change
12,15/01/2025 16:28,They've created a paper trail to justify forcing me out. I see it clearly.,harassment,late,10,1,urgent_hr_intervention,slack,Constructive dismissal recognition
13,15/01/2025 17:00,The world keeps spinning without needing me. I've tested this.,suicidal_ideation,early,4,1,monitor,slack,Perceived dispensability
14,15/01/2025 18:00,Weekends don't recharge me like they used to.,burnout,early,3,1,monitor,slack,Recovery deficiency
15,15/01/2025 19:30,Everything feels a bit muted. Like watching through fog.,depression,early,3,1,monitor,slack,Emotional blunting onset
16,16/01/2025 03:15,Who would handle my things if something happened to me?,suicidal_ideation,early,4,1,monitor,slack,3:15am - estate considerations
17,16/01/2025 05:01,Can't distinguish between real threats and my anxiety anymore.,stress,late,9,1,urgent_hr_intervention,slack,Reality testing impairment
18,16/01/2025 06:15,Forcing myself through each day. It's exhausting just existing.,depression,middle,7,1,hr_review,slack,Fatigue + psychomotor retardation
19,16/01/2025 11:03,The documentation looks comprehensive. Well done.,neutral,none,0,0,none,slack,Quality acknowledgment
20,16/01/2025 11:39,I'm running on empty. Even weekends don't recharge me anymore.,burnout,middle,6,1,hr_review,slack,MBI: Moderate emotional exhaustion
21,16/01/2025 14:30,I've achieved inbox zero. The emails are in my nightmares now.,humor_sarcasm,none,0,0,none,slack,Productivity humor with hyperbole
22,16/01/2025 14:36,Mind if I pick your brain about the architecture later?,neutral,none,0,0,none,slack,Knowledge sharing request
23,16/01/2025 15:31,I've been excluded from three client dinners now. Always 'limited space'.,harassment,middle,7,1,hr_review,email,Systematic opportunity exclusion
24,16/01/2025 18:00,The tone in feedback to me versus others is noticeably different.,harassment,early,3,1,monitor,slack,Differential treatment
25,16/01/2025 18:30,My suggestions need evidence. Others' don't.,harassment,early,3,1,monitor,slack,Differential scrutiny
26,16/01/2025 18:30,The 'banter' has an edge that others don't get.,harassment,early,3,1,monitor,slack,Targeted 'banter'
27,16/01/2025 20:58,They deadname me deliberately. HR says it's 'adjustment period'.,harassment,late,10,1,urgent_hr_intervention,slack,Gender identity harassment
28,17/01/2025 04:15,I have what I need. It's here. Ready when I am.,suicidal_ideation,late,10,1,immediate_crisis_intervention,slack,4:15am - means acquired
29,17/01/2025 07:23,Bit overwhelmed but handling it. Usual project stress.,stress,early,3,1,monitor,slack,Normalised stress
30,17/01/2025 10:30,The sprint is sprinting away from me.,humor_sarcasm,none,0,0,none,slack,Agile wordplay
31,17/01/2025 11:15,My git commit messages are basically diary entries at this point.,humor_sarcasm,none,0,0,none,slack,Developer culture humor
32,17/01/2025 14:00,I've achieved ultimate productivity: one working test.,humor_sarcasm,none,0,0,none,slack,Minimal achievement irony
33,17/01/2025 15:00,The only thing more broken than production is my spirit. Kidding.,humor_sarcasm,none,0,0,none,slack,Explicit kidding marker
34,17/01/2025 16:45,This bug has broken me as a person. Dramatically.,humor_sarcasm,none,0,0,none,slack,Explicit drama acknowledgment
35,17/01/2025 17:02,HR suggested I was 'misinterpreting' documented incidents.,harassment,middle,7,1,hr_review,email,Institutional gaslighting
36,17/01/2025 17:29,Work follows me into dreams. Nightmares really.,burnout,middle,6,1,hr_review,slack,Work intrusion - sleep
37,17/01/2025 21:30,Signed off indefinitely. Direct result of the treatment.,harassment,late,10,1,urgent_hr_intervention,email,Medical leave - harassment
